image_name,cell_id,mean_intensity,std_intensity,edge_density
download (1).jpeg,1,42.00909090909091,25.33388990979144,0.14393939393939395
download (1).jpeg,2,56.88939393939394,34.561603449001375,0.28484848484848485
download (1).jpeg,3,114.7530303030303,39.80723902377621,0.38484848484848483
download (1).jpeg,4,87.05757575757576,33.09041361045413,0.3
download (1).jpeg,5,40.231818181818184,24.87055980831681,0.18636363636363637
download (1).jpeg,6,29.936363636363637,16.99471073120886,0.07878787878787878
download (1).jpeg,7,40.21666666666667,24.54624629287963,0.21666666666666667
download (1).jpeg,8,36.0469696969697,25.38812487673435,0.21818181818181817
download (1).jpeg,9,51.192424242424245,37.0509183242265,0.2696969696969697
download (1).jpeg,10,86.35606060606061,43.097833133984956,0.37575757575757573
download (1).jpeg,11,110.3378787878788,48.671310276027164,0.3878787878787879
download (1).jpeg,12,144.5090909090909,43.89683058646934,0.403030303030303
download (1).jpeg,13,123.43484848484849,47.66458246902767,0.3803030303030303
download (1).jpeg,14,51.20151515151515,40.41587219122017,0.29393939393939394
download (1).jpeg,15,48.32575757575758,36.71963726386353,0.2863636363636364
download (1).jpeg,16,52.59090909090909,33.96365136914859,0.31212121212121213
download (1).jpeg,17,66.30909090909091,41.49547155750388,0.3
download (1).jpeg,18,92.21515151515152,38.81118724388721,0.34545454545454546
download (1).jpeg,19,106.80454545454545,38.43388235232262,0.34393939393939393
download (1).jpeg,20,118.65,50.121884018617635,0.37575757575757573
download (1).jpeg,21,105.02727272727273,33.006783258094565,0.33636363636363636
download (1).jpeg,22,52.75454545454546,37.56534178709502,0.22575757575757577
download (1).jpeg,23,39.89090909090909,33.91589744019099,0.17727272727272728
download (1).jpeg,24,34.01060606060606,17.476691219917083,0.13484848484848486
download (1).jpeg,25,54.14090909090909,31.486646892085652,0.2606060606060606
download (1).jpeg,26,142.1969696969697,43.13035902476517,0.35
download (1).jpeg,27,167.78181818181818,50.36164037178137,0.19696969696969696
download (1).jpeg,28,71.08333333333333,30.25859298604199,0.36666666666666664
download (1).jpeg,29,71.57878787878788,28.745458219129713,0.29393939393939394
download (1).jpeg,30,43.36969696969697,24.807922547450318,0.15
download (1).jpeg,31,25.96212121212121,11.624429150552585,0.05606060606060606
download (1).jpeg,32,21.704545454545453,12.19161326011851,0.04696969696969697
download (1).jpeg,33,37.81212121212121,14.404581711675558,0.08181818181818182
download (1).jpeg,34,75.89090909090909,37.569252125031184,0.24696969696969698
download (1).jpeg,35,79.68787878787879,43.187429832075665,0.30303030303030304
download (1).jpeg,36,59.29848484848485,26.83146610720129,0.34393939393939393
download (1).jpeg,37,63.77424242424242,23.30455028143685,0.24393939393939393
download (1).jpeg,38,56.487878787878785,25.920651151283217,0.22121212121212122
download (1).jpeg,39,25.993939393939392,10.621160679424124,0.015151515151515152
download (1).jpeg,40,19.169696969696968,6.739637830773313,0.0
download (1).jpeg,41,28.846969696969698,12.496032336329675,0.0
download (1).jpeg,42,49.403030303030306,24.302475056001324,0.2803030303030303
download (1).jpeg,43,37.02424242424242,22.236184410850523,0.1787878787878788
download (1).jpeg,44,37.906060606060606,16.193815493537993,0.12121212121212122
download (1).jpeg,45,49.61969696969697,23.0333599944829,0.25606060606060604
download (1).jpeg,46,51.056060606060605,22.74186253924473,0.20454545454545456
download (1).jpeg,47,39.56666666666667,24.294408468375657,0.07878787878787878
download (1).jpeg,48,33.337878787878786,18.828075950168344,0.051515151515151514
download (1).jpeg,49,24.766666666666666,9.629820057687182,0.0
download (1).jpeg,50,29.79090909090909,14.50533577137118,0.045454545454545456
download (1).jpeg,51,48.74090909090909,24.994384079972644,0.08484848484848485
download (1).jpeg,52,53.36060606060606,12.135983045521092,0.048484848484848485
download (1).jpeg,53,62.54242424242424,14.00929410769065,0.11818181818181818
download (1).jpeg,54,50.72727272727273,15.81488123001748,0.04393939393939394
download (1).jpeg,55,56.08181818181818,32.23981121218369,0.23484848484848486
download (1).jpeg,56,58.00757575757576,32.407746972290724,0.23333333333333334
download (1).jpeg,57,54.65151515151515,36.462763249168624,0.1393939393939394
download (1).jpeg,58,82.73333333333333,36.4205874735594,0.23787878787878788
download (1).jpeg,59,53.233333333333334,20.82212061896451,0.045454545454545456
download (1).jpeg,60,58.127272727272725,20.438500104004145,0.09696969696969697
download (1).jpeg,61,50.595454545454544,10.815322069178295,0.02878787878787879
download (1).jpeg,62,45.18787878787879,10.159389076590681,0.0
download (1).jpeg,63,49.342424242424244,18.807905016049652,0.09545454545454546
download (1).jpeg,64,71.87424242424242,40.44484763457089,0.20454545454545456
download (2).jpeg,1,124.50940438871473,50.55713803438956,0.3573667711598746
download (2).jpeg,2,138.98902821316614,39.011511105597414,0.39655172413793105
download (2).jpeg,3,126.71316614420063,44.558202391034115,0.4059561128526646
download (2).jpeg,4,93.55329153605015,45.23047368040576,0.3401253918495298
download (2).jpeg,5,108.50626959247649,38.43651841872551,0.38087774294670845
download (2).jpeg,6,110.10031347962382,36.469929639729344,0.4106583072100313
download (2).jpeg,7,131.8025078369906,44.11581928234058,0.38557993730407525
download (2).jpeg,8,97.91065830721003,34.89720478884331,0.329153605015674
download (2).jpeg,9,113.13949843260188,51.3740140306047,0.3448275862068966
download (2).jpeg,10,143.73667711598745,49.657443505898634,0.35893416927899685
download (2).jpeg,11,144.2742946708464,48.26232846268859,0.3667711598746082
download (2).jpeg,12,89.94514106583073,38.46822325671787,0.3793103448275862
download (2).jpeg,13,96.58150470219435,35.42998884186414,0.3824451410658307
download (2).jpeg,14,114.23510971786834,39.0075294866184,0.390282131661442
download (2).jpeg,15,110.73354231974922,38.93436930473255,0.4153605015673981
download (2).jpeg,16,89.54858934169279,37.27866748871506,0.27899686520376177
download (2).jpeg,17,94.10971786833856,45.01592055101392,0.2852664576802508
download (2).jpeg,18,129.7257053291536,41.47377081065648,0.38087774294670845
download (2).jpeg,19,131.78056426332287,55.246856660279605,0.3714733542319749
download (2).jpeg,20,101.42633228840126,42.209323830278706,0.3887147335423197
download (2).jpeg,21,124.19592476489028,38.43792596734969,0.35893416927899685
download (2).jpeg,22,112.45141065830721,35.95752443982711,0.384012539184953
download (2).jpeg,23,105.83699059561128,35.92161108118096,0.3683385579937304
download (2).jpeg,24,63.658307210031346,21.202394988475117,0.19905956112852666
download (2).jpeg,25,87.06739811912226,37.61077894172436,0.2962382445141066
download (2).jpeg,26,122.04858934169279,43.84003934457839,0.3605015673981191
download (2).jpeg,27,135.16927899686522,50.74389747994409,0.38087774294670845
download (2).jpeg,28,90.46394984326018,41.942016080839316,0.35893416927899685
download (2).jpeg,29,117.88871473354232,35.335585505978024,0.4122257053291536
download (2).jpeg,30,98.9012539184953,39.571386606058184,0.3652037617554859
download (2).jpeg,31,84.97805642633229,39.687645890729186,0.32445141065830724
download (2).jpeg,32,60.294670846394986,21.713675460585787,0.30250783699059564
download (2).jpeg,33,86.42163009404389,39.881595552340606,0.33699059561128525
download (2).jpeg,34,111.99843260188088,53.15074378540137,0.3213166144200627
download (2).jpeg,35,101.43103448275862,48.37672931981033,0.329153605015674
download (2).jpeg,36,98.34169278996865,41.958023339122064,0.38557993730407525
download (2).jpeg,37,126.1332288401254,47.18774074942989,0.384012539184953
download (2).jpeg,38,104.72727272727273,44.40453366977658,0.3683385579937304
download (2).jpeg,39,77.84012539184953,35.21705407597177,0.31504702194357365
download (2).jpeg,40,46.470219435736674,16.97550024051715,0.17711598746081506
download (2).jpeg,41,65.47021943573668,34.82506515822665,0.30407523510971785
download (2).jpeg,42,81.64576802507837,38.67625338801931,0.3605015673981191
download (2).jpeg,43,81.11128526645768,45.14850276708903,0.30877742946708464
download (2).jpeg,44,66.24608150470219,30.333681508542536,0.34796238244514105
download (2).jpeg,45,118.08934169278997,53.3174074440724,0.36363636363636365
download (2).jpeg,46,118.00940438871473,33.927544583471246,0.38087774294670845
download (2).jpeg,47,80.64733542319749,23.961229475517328,0.3181818181818182
download (2).jpeg,48,61.43260188087774,20.64396660479907,0.26489028213166144
download (2).jpeg,49,66.07680250783699,31.67644113045852,0.2664576802507837
download (2).jpeg,50,80.10031347962382,41.40017226080846,0.31504702194357365
download (2).jpeg,51,133.48746081504703,50.113122811081716,0.390282131661442
download (2).jpeg,52,172.57523510971788,61.95771498579767,0.3338557993730408
download (2).jpeg,53,156.06426332288402,48.50143592877671,0.32601880877742945
download (2).jpeg,54,85.73824451410658,24.735252939561786,0.34796238244514105
download (2).jpeg,55,79.15203761755485,27.104241254225084,0.329153605015674
download (2).jpeg,56,70.14263322884013,25.85242724233112,0.3871473354231975
download (2).jpeg,57,89.58463949843261,30.3693287329726,0.3213166144200627
download (2).jpeg,58,113.11598746081505,38.5135528994701,0.35266457680250785
download (2).jpeg,59,136.06112852664577,44.49237573352257,0.2962382445141066
download (2).jpeg,60,171.61442006269593,30.862602465334405,0.30250783699059564
download (2).jpeg,61,161.67868338557994,36.28481746135469,0.3495297805642633
download (2).jpeg,62,83.4858934169279,36.218843989537866,0.29310344827586204
download (2).jpeg,63,78.44670846394985,27.821353746277484,0.3652037617554859
download (2).jpeg,64,64.05956112852665,24.99817349682368,0.33699059561128525
download (3).jpeg,1,40.095454545454544,24.49480422220797,0.1303030303030303
download (3).jpeg,2,52.63333333333333,19.928632768968473,0.17727272727272728
download (3).jpeg,3,68.03787878787878,30.30416645597381,0.2863636363636364
download (3).jpeg,4,106.60757575757576,32.18773910464205,0.3575757575757576
download (3).jpeg,5,63.42272727272727,34.81015741459165,0.20909090909090908
download (3).jpeg,6,40.662121212121214,13.699461006335085,0.06666666666666667
download (3).jpeg,7,56.58030303030303,30.154469590291402,0.15151515151515152
download (3).jpeg,8,42.343939393939394,16.46948168296191,0.045454545454545456
download (3).jpeg,9,46.36060606060606,27.5821685854306,0.14696969696969697
download (3).jpeg,10,76.47121212121212,28.914619690808586,0.3196969696969697
download (3).jpeg,11,62.157575757575756,22.35246620930675,0.2318181818181818
download (3).jpeg,12,75.31969696969696,34.2099919822166,0.2803030303030303
download (3).jpeg,13,56.68636363636364,22.866545540563788,0.12727272727272726
download (3).jpeg,14,46.21515151515152,19.282880163535882,0.1409090909090909
download (3).jpeg,15,70.4530303030303,30.906151783908506,0.2696969696969697
download (3).jpeg,16,37.06515151515151,14.671772448999642,0.02878787878787879
download (3).jpeg,17,31.196969696969695,14.311808746805637,0.06060606060606061
download (3).jpeg,18,59.4560606060606,27.98678599878488,0.19090909090909092
download (3).jpeg,19,50.02121212121212,17.01415199849031,0.10454545454545454
download (3).jpeg,20,61.24848484848485,34.56415310003266,0.25303030303030305
download (3).jpeg,21,81.24242424242425,33.20782155313514,0.25
download (3).jpeg,22,72.14090909090909,23.2360057413041,0.25757575757575757
download (3).jpeg,23,50.734848484848484,21.274347851160908,0.09545454545454546
download (3).jpeg,24,41.20757575757576,17.137791047910362,0.06515151515151515
download (3).jpeg,25,30.88030303030303,10.046373078349458,0.05606060606060606
download (3).jpeg,26,69.22575757575757,36.98532391411679,0.23787878787878788
download (3).jpeg,27,61.946969696969695,25.251256912592456,0.2409090909090909
download (3).jpeg,28,63.915151515151514,28.601315091740855,0.2606060606060606
download (3).jpeg,29,74.66666666666667,33.52341259357692,0.21818181818181817
download (3).jpeg,30,52.52121212121212,24.450962149696963,0.16363636363636364
download (3).jpeg,31,45.18939393939394,15.570043389401393,0.05303030303030303
download (3).jpeg,32,51.57121212121212,21.988414753666238,0.14393939393939395
download (3).jpeg,33,24.224242424242423,9.642300439180076,0.0
download (3).jpeg,34,76.6621212121212,43.93048318737476,0.22272727272727272
download (3).jpeg,35,79.06515151515151,42.856388061808424,0.24393939393939393
download (3).jpeg,36,61.15909090909091,32.08847370362291,0.23787878787878788
download (3).jpeg,37,78.03030303030303,39.297879384905706,0.23333333333333334
download (3).jpeg,38,53.448484848484846,25.704829415502324,0.19696969696969696
download (3).jpeg,39,54.57575757575758,26.93244107023789,0.1787878787878788
download (3).jpeg,40,43.93333333333333,20.828050239224908,0.10151515151515152
download (3).jpeg,41,33.448484848484846,34.53674478187773,0.05
download (3).jpeg,42,102.35151515151514,33.255221701735636,0.3
download (3).jpeg,43,63.0469696969697,28.605613560644002,0.22272727272727272
download (3).jpeg,44,53.587878787878786,26.708184622012208,0.1787878787878788
download (3).jpeg,45,62.666666666666664,32.81441540826011,0.11212121212121212
download (3).jpeg,46,62.196969696969695,34.903468481361344,0.28484848484848485
download (3).jpeg,47,53.95757575757576,28.948146225287456,0.17272727272727273
download (3).jpeg,48,62.557575757575755,27.68482825186333,0.17727272727272728
download (3).jpeg,49,31.912121212121214,25.393536013285644,0.05
download (3).jpeg,50,97.59848484848484,28.66157279843647,0.2681818181818182
download (3).jpeg,51,91.21969696969697,31.014980347709052,0.2515151515151515
download (3).jpeg,52,74.39545454545454,40.08770283681496,0.19242424242424241
download (3).jpeg,53,38.86363636363637,12.46751702289808,0.01818181818181818
download (3).jpeg,54,51.81818181818182,21.98105871310025,0.16363636363636364
download (3).jpeg,55,50.277272727272724,28.030617975298636,0.09696969696969697
download (3).jpeg,56,38.03484848484848,16.93204772402199,0.048484848484848485
download (3).jpeg,57,23.436363636363637,7.815323649507835,0.0
download (3).jpeg,58,40.93333333333333,11.805434461648705,0.0
download (3).jpeg,59,69.36515151515151,15.916305651221446,0.0
download (3).jpeg,60,55.46666666666667,11.596647024990553,0.0
download (3).jpeg,61,33.43787878787879,16.328746404327024,0.0
download (3).jpeg,62,32.46515151515152,13.897143726857038,0.0
download (3).jpeg,63,40.14090909090909,20.052956233907466,0.012121212121212121
download (3).jpeg,64,21.812121212121212,16.061279574214044,0.024242424242424242
download (4).jpeg,1,10.584444444444445,5.8782633699855245,0.0
download (4).jpeg,2,35.64888888888889,18.529167664009837,0.017777777777777778
download (4).jpeg,3,66.41111111111111,17.942311534745922,0.16
download (4).jpeg,4,71.41777777777777,21.00854100269051,0.10666666666666667
download (4).jpeg,5,72.98666666666666,23.23320994706595,0.07111111111111111
download (4).jpeg,6,78.74444444444444,9.754043162949987,0.04
download (4).jpeg,7,78.42444444444445,2.6076516089347987,0.0
download (4).jpeg,8,77.97333333333333,3.491475332864318,0.0
download (4).jpeg,9,14.695555555555556,6.9434687314548595,0.0
download (4).jpeg,10,36.026666666666664,15.804899381028797,0.024444444444444446
download (4).jpeg,11,71.99555555555555,21.807032051922615,0.3333333333333333
download (4).jpeg,12,74.13111111111111,43.17456206930816,0.3844444444444444
download (4).jpeg,13,122.45111111111112,56.867124352289565,0.4066666666666667
download (4).jpeg,14,100.7311111111111,33.62394862278454,0.28
download (4).jpeg,15,73.68,4.066644808684427,0.0
download (4).jpeg,16,68.88888888888889,3.9850956894811183,0.0
download (4).jpeg,17,15.815555555555555,5.554915963182944,0.0
download (4).jpeg,18,35.25333333333333,12.496854715398502,0.04888888888888889
download (4).jpeg,19,71.9,18.45815086441037,0.22444444444444445
download (4).jpeg,20,66.24666666666667,43.498444927504146,0.2822222222222222
download (4).jpeg,21,133.22222222222223,43.9815056530148,0.3111111111111111
download (4).jpeg,22,85.62,30.35325426448447,0.14888888888888888
download (4).jpeg,23,74.25111111111111,5.674626653298082,0.0
download (4).jpeg,24,72.64222222222222,3.847480496745826,0.0
download (4).jpeg,25,14.557777777777778,5.55877639968801,0.0
download (4).jpeg,26,36.946666666666665,9.221559280054299,0.0
download (4).jpeg,27,68.22666666666667,22.03789060282817,0.16444444444444445
download (4).jpeg,28,61.257777777777775,37.83807893226016,0.3844444444444444
download (4).jpeg,29,124.58444444444444,45.342383682650514,0.37555555555555553
download (4).jpeg,30,83.98,30.594510037659443,0.28
download (4).jpeg,31,65.18,6.470861182597294,0.0
download (4).jpeg,32,58.96222222222222,4.327266978841592,0.0
download (4).jpeg,33,14.426666666666666,5.523702462016658,0.0
download (4).jpeg,34,29.564444444444444,12.714526347721868,0.0
download (4).jpeg,35,69.76,17.656228362818602,0.1622222222222222
download (4).jpeg,36,49.46666666666667,39.78335777125349,0.24666666666666667
download (4).jpeg,37,104.96888888888888,37.624742581458115,0.22666666666666666
download (4).jpeg,38,86.70444444444445,26.79169403258783,0.23555555555555555
